Country,Rank,Year,Number of Migrants,url,Url,Number of Migrants
United Kingdom,5,2015,8406996,data/images/united-kingdom.png,https://cdn-icons-png.flaticon.com/512/197/197374.png,8 406 996
United Arab Emirates,6,2015,7995126,data/images/united-arab-emirates.png,https://cdn-icons-png.flaticon.com/512/5921/5921904.png,7 995 126
France,7,2015,7878338,data/images/france.png,https://cdn-icons-png.flaticon.com/512/197/197560.png,7 878 338
Canada,8,2015,7428657,data/images/canada.png,https://cdn-icons-png.flaticon.com/512/197/197430.png,7 428 657
Australia,9,2015,6729730,data/images/australia.png,https://cdn-icons-png.flaticon.com/512/197/197507.png,6 729 730
Spain,10,2015,5891208,data/images/spain.png,https://cdn-icons-png.flaticon.com/512/197/197593.png,5 891 208
United States of America,1,2020,50632836,data/images/united-states-america.png,https://cdn-icons-png.flaticon.com/512/197/197484.png,50 632 836
Germany,2,2020,15762457,data/images/germany.png,https://cdn-icons-png.flaticon.com/512/197/197571.png,15 762 457
Saudi Arabia,3,2020,13454842,data/images/saudi-arabia.png,https://cdn-icons-png.flaticon.com/512/197/197578.png,13 454 842
Russian Federation,4,2020,11636911,data/images/russia.png,https://cdn-icons-png.flaticon.com/512/4628/4628645.png,11 636 911
United Kingdom,5,2020,9359587,data/images/united-kingdom.png,https://cdn-icons-png.flaticon.com/512/197/197374.png,9 359 587
United Arab Emirates,6,2020,8716332,data/images/united-arab-emirates.png,https://cdn-icons-png.flaticon.com/512/5921/5921904.png,8 716 332
France,7,2020,8524876,data/images/france.png,https://cdn-icons-png.flaticon.com/512/197/197560.png,8 524 876
Canada,8,2020,8049323,data/images/canada.png,https://cdn-icons-png.flaticon.com/512/197/197430.png,8 049 323
Australia,9,2020,7685860,data/images/australia.png,https://cdn-icons-png.flaticon.com/512/197/197507.png,7 685 860
Spain,10,2020,6842202,data/images/spain.png,https://cdn-icons-png.flaticon.com/512/197/197593.png,6 842 202
