Country,Migrants,Population,Migrants per 100k Population,GDP,Continent
S. Sudan,11194,11216250,99.8016271,13.335,Africa
Spain,46755,46757980,99.99362676,1497.67,Europe
Sri Lanka,21413,21428970,99.92547472,122.55,Asia
State of Palestine,5101,5121112,99.6072728,0.944,Asia
Sudan,43849,44019263,99.61320797,117.403,Africa
Suriname,587,587541,99.90792132,7.266,Americas
Sweden,10099,10110233,99.88889475,585.743,Europe
Switzerland,8655,8665615,99.87750437,770.927,Europe
Syria,17501,17571053,99.60131587,770.927,Europe
Tajikistan,9538,9573310,99.63116205,11.111,Asia
Tanzania,59734,60012400,99.53609587,64.145,Asia
Thailand,69800,69830779,99.95592345,473.997,Asia
Timor-Leste,1318,1322667,99.64715231,473.997,Asia
Togo,8279,8310934,99.61575919,6.394,Africa
Tokelau,1,1360,73.52941176,6.394,Oceania
Tonga,106,105901,100.0934835,0.574,Oceania
Trinidad and Tobago,1399,1400283,99.90837566,36.113,Americas
Tunisia,11819,11839918,99.82332648,53.537,Africa
Turkey,84339,84495243,99.81508663,905.844,Asia
Turkmenistan,6031,6046292,99.74708466,83.993,Asia
Turks and Caicos Islands,39,38806,100.4999227,83.993,Americas
Tuvalu,12,11817,101.5486164,83.993,Oceania
Uganda,45741,45974931,99.49117705,37.688,Africa
Ukraine,43734,43686577,100.1085528,137.856,Europe
United Arab Emirates,9890,9910892,99.78920162,468.902,Asia
United Kingdom,67886,67948282,99.90833911,3851.98,Asia
United States of America,331003,331341050,99.89797521,22294.11,Americas
United States Virgin Islands,104,104398,99.61876664,22294.11,Americas
Uruguay,3474,3475842,99.94700565,70.107,Americas
Uzbekistan,33469,33551824,99.75314606,88.986,Asia
Vanuatu,307,308337,99.56638353,1.057,Oceania
Venezuela,28436,28421581,100.0507326,184.364,Oceania
Vietnam,97339,97490013,99.84509901,287.257,Asia
West Bank and Gaza,0,0,0,287.257,Oceania
Wallis and Futuna Islands,11,11203,98.18798536,287.257,Oceania
Western Sahara,597,599769,99.53832225,287.257,Africa
Yemen,29826,29935468,99.63432006,287.257,Asia
Zambia,18384,18468257,99.54377395,36.316,Africa
Zimbabwe,14863,14899771,99.75321097,17.529,Africa
